Jira URL,Summary,Status,BoD Report,ARC Review Status,Fast Track,Updated,ISA or NON-ISA?,GitHub,Baseline Ratification Quarter,Target Ratification Quarter,Ratification Progress,Previous Ratification Progress
https://riscv.atlassian.net/browse/RVS-1942,Performance Events Specification,Specification in Planning,No,,No,2026-03-19T17:27:01.987-0700,ISA,https://github.com/riscv/riscv-performance-events,Not Set Yet,Not Set Yet,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-4335,'Shadow Stacks s for M-mode, M+U systems, and SPMP',Specification Under Stabilization,No,,Yes,2026-03-19T16:42:43.703-0700,ISA,https://github.com/ved-rivos/riscv-isa-manual/blob/smpmpss/src/smcfiss.adoc,26Q3,26Q3,On Track,On Track
https://riscv.atlassian.net/browse/RVS-4146,Platform Management Interface - RPMI (2.0),Specification Under Development,No,,No,2026-03-19T16:42:39.006-0700,NON-ISA,Not Set Yet,27Q1,26Q4,On Track,On Track
https://riscv.atlassian.net/browse/RVS-3982,Sdtrig Enhancements (Sdtrigpend and Sdtrigepm),Specification Under Development,No,,Yes,2026-03-19T16:42:38.423-0700,ISA,Not Set Yet,25Q4,26Q4,On Track,On Track
https://riscv.atlassian.net/browse/RVS-2770,Performance Event Sampling,Specification Under Development,No,,No,2026-03-19T16:42:36.245-0700,ISA,https://github.com/riscv/riscv-performance-event-sampling,25Q3,26Q4,On Track,On Track
https://riscv.atlassian.net/browse/RVS-1895,Dynamic RVTSO,Specification Under Development,No,,Yes,2026-03-19T16:42:30.688-0700,ISA,https://github.com/riscv/riscv-ssdtso,24Q1,26Q4,Late,Exposed
https://riscv.atlassian.net/browse/RVS-4463,Optimization Directives,Specification Inception,No,,Yes,2026-03-19T16:02:30.627-0700,ISA,Not Set Yet,Not Set Yet,Not Set Yet,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-1145,Unified Discovery,Cancelled,Yes,,No,2026-03-16T12:49:23.546-0700,NON-ISA,https://github.com/riscv/configuration-structure,24Q2,26Q3,Late,Exposed
https://riscv.atlassian.net/browse/RVS-3645,Advanced Core Local Interruptor (ACLINT),Cancelled,No,,No,2026-03-16T12:30:31.299-0700,ISA,https://github.com/riscv/riscv-aclint,Not Set Yet,27Q1,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-3623,Sdtrig Effective Privilege Mode (Sdtrigepm) ,Cancelled,No,,Yes,2026-03-16T12:30:30.468-0700,ISA,https://github.com/riscv/riscv-sdtrigepm,Not Set Yet,Not Set Yet,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-1185,Architectural Test User Specification,Cancelled,No,,No,2026-03-16T12:29:41.194-0700,NON-ISA,https://github.com/riscv-non-isa/riscv-arch-test,Not Set Yet,27Q1,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-913,Vector Crypto - all-rounds AES,Cancelled,No,,No,2026-03-16T12:29:26.411-0700,ISA,https://github.com/riscv/riscv-crypto,Not Set Yet,27Q1,Not Set Yet,Not Set Yet
